0	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
1	من نمی فهمم چرا تمامی منجی های آخر الزمانی بی پدر نطفه شون بسته شده، امام حسن عسگری که تو زندان بود و از طریق طی ال… https://t.co/vKEwy6Py38
2	"@yasnayona جالب بود
اگر حق آب هیرمند توسط شاه پفیوز به افغانستان بخشیده نشده بود الان شاهد خشکسالی در سیستان و بلوچستان نبودیم"
3	"RT @nadersy325: این هم وضعیت مردم محروم #سيستان_و_بلوچستان  !!
سوخت‌کشی #شغل نیست، علت نبود شغل است. زیرا این نظام بجز نابودی حرث ونسل کار…"
4	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
5	"RT @nadersy325: این هم وضعیت مردم محروم #سيستان_و_بلوچستان  !!
سوخت‌کشی #شغل نیست، علت نبود شغل است. زیرا این نظام بجز نابودی حرث ونسل کار…"
6	"RT @nadersy325: این هم وضعیت مردم محروم #سيستان_و_بلوچستان  !!
سوخت‌کشی #شغل نیست، علت نبود شغل است. زیرا این نظام بجز نابودی حرث ونسل کار…"
7	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
8	"RT @Goli202: برای هواپیمای اوکراینی
برای نوید 
برای اعدام نکنید
برای کولبر
برای فروش ایران
برای تشنگی سیستان و بلوچستان
هشتگ زدیم، هشتگ زدی…"
9	@vahidrafiei9 @shiftegaan @MahrokhChili بیکاری تو همه جا هست ؛ برای رفع نیازشون تو غرب کولبر ، تو سیستان بلوچستان م… https://t.co/qnbvZUaifh
10	"برای هواپیمای اوکراینی
برای نوید 
برای اعدام نکنید
برای کولبر
برای فروش ایران
برای تشنگی سیستان و بلوچستان
هشتگ زدی… https://t.co/oxHZLMzcWi"
11	"RT @nadersy325: این هم وضعیت مردم محروم #سيستان_و_بلوچستان  !!
سوخت‌کشی #شغل نیست، علت نبود شغل است. زیرا این نظام بجز نابودی حرث ونسل کار…"
12	"RT @nadersy325: این هم وضعیت مردم محروم #سيستان_و_بلوچستان  !!
سوخت‌کشی #شغل نیست، علت نبود شغل است. زیرا این نظام بجز نابودی حرث ونسل کار…"
13	"RT @nadersy325: این هم وضعیت مردم محروم #سيستان_و_بلوچستان  !!
سوخت‌کشی #شغل نیست، علت نبود شغل است. زیرا این نظام بجز نابودی حرث ونسل کار…"
14	"RT @nadersy325: این هم وضعیت مردم محروم #سيستان_و_بلوچستان  !!
سوخت‌کشی #شغل نیست، علت نبود شغل است. زیرا این نظام بجز نابودی حرث ونسل کار…"
15	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
16	"این هم وضعیت مردم محروم #سيستان_و_بلوچستان  !!
سوخت‌کشی #شغل نیست، علت نبود شغل است. زیرا این نظام بجز نابودی حرث و… https://t.co/i5ckQ9Pc9t"
17	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
18	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
19	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
20	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
21	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
22	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
23	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
24	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
25	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
26	RT @Nasim876: کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر بیکار…
27	کولبران بیشتر در استان‌های آذربایجان غربی،کردستان، کرمانشاه و سیستان و بلوچستان مشغول به کار هستند.کولبران به خاطر… https://t.co/yLnoLV0XZ9
28	کولبران بیشتر در استان های آذربایجان غربی ، کردستان ، کرمانشاه ، و سیستان و بلوچستان مشغول به کار هستند.کولبران به… https://t.co/hyeM9EYzgU
29	"RT @Daksiiam: برید بدوید ، زیاد بدوید
اون موقعی که از خستگی و تشنگی میخواستید آب بخورید 
یاد مردم سیستان هم بیفتید......."
30	"برید بدوید ، زیاد بدوید
اون موقعی که از خستگی و تشنگی میخواستید آب بخورید 
یاد مردم سیستان هم بیفتید......."
31	"#بند_کمال_خان روی رودخانه هلمند ساخته میشود که به دریاچه #هامون می ریزد.

این هفته #طالبان به این سد حمله کرد و شش… https://t.co/Lg7XQLQsYM"
32	دریاچه هامون هم خایمال داره
33	"RT @dariushabbasi72: سوخت‌کشی ⁩شغل نیست، علت نبود شغل است!!!

بجای مقابله با سوخت‌کشان با #فقر و #بیکاری مقابله کنید 
خور باهو - نزدیک مرز…"
34	"RT @dariushabbasi72: سوخت‌کشی ⁩شغل نیست، علت نبود شغل است!!!

بجای مقابله با سوخت‌کشان با #فقر و #بیکاری مقابله کنید 
خور باهو - نزدیک مرز…"
35	"RT @Moh4mmd: افغان ها درحال اتمام بند کمال خان!
با احداث این سد دیگر هیچگونه آبی وارد منطقه سیستان نخواهد شد و با توجه به سالها خشکسالی و ک…"
36	RT @VidaSarafraz: در سیستان خشکسالی اتفاق افتاده بود ولی مامورین خلیفه بيرحمانه خراج و مالیات سنگینی را از دهقانان و بازرگانان طلب کرده و ب…
37	"RT @elia12420: با افتتاح فاز سوم سد کمال خان در استان نیمروز افغانستان
دیگه چیزی به نام کشاورزی،دامداری،صید ماهی و نیزارهای هامون برای منطق…"
38	RT @VidaSarafraz: در سیستان خشکسالی اتفاق افتاده بود ولی مامورین خلیفه بيرحمانه خراج و مالیات سنگینی را از دهقانان و بازرگانان طلب کرده و ب…
39	"RT @dariushabbasi72: سوخت‌کشی ⁩شغل نیست، علت نبود شغل است!!!

بجای مقابله با سوخت‌کشان با #فقر و #بیکاری مقابله کنید 
خور باهو - نزدیک مرز…"
40	"RT @KayhanLondon: سال‌هاست فریاد تشنگی مردم سیستان و بلوچستان بلند است

🔹 نبود آب آشامیدنی در استان سیستان و بلوچستان سبب شده بسیاری از کود…"
